Household 202,Household 210,Quantile,Datetime
0.064251815312574,0.16709805419365992,0.75,2015-08-08T06:45:00Z
0.07247283549077278,0.13972363974192784,0.75,2015-08-08T07:15:00Z
0.07931171736056684,0.10934769932307285,0.75,2015-08-08T07:45:00Z
0.08177941456627684,0.07942087360718399,0.75,2015-08-08T08:15:00Z
0.07971098224750779,0.05410863660870927,0.75,2015-08-08T08:45:00Z
0.07570159629160865,0.038241597463562295,0.75,2015-08-08T09:15:00Z
0.07073115131991455,0.032134953442357825,0.75,2015-08-08T09:45:00Z
0.06497427798692354,0.03297165570151867,0.75,2015-08-08T10:15:00Z
0.06083022374849003,0.03981917252862377,0.75,2015-08-08T10:45:00Z
0.06074178649776595,0.05396758010736722,0.75,2015-08-08T11:15:00Z
0.06346491520500984,0.07268446198946822,0.75,2015-08-08T11:45:00Z
0.06567483113185024,0.08441178512342684,0.75,2015-08-08T12:15:00Z
0.06610389712602743,0.07848820962209087,0.75,2015-08-08T12:45:00Z
0.06469276732636484,0.059424139108221447,0.75,2015-08-08T13:15:00Z
0.06051341045001742,0.04154264243985301,0.75,2015-08-08T13:45:00Z
0.05362757870437211,0.032898158064415955,0.75,2015-08-08T14:15:00Z
0.04567973986477106,0.0320783041667905,0.75,2015-08-08T14:45:00Z
0.03810008342026465,0.03481189739150287,0.75,2015-08-08T15:15:00Z
0.03216785966062477,0.03795752152155074,0.75,2015-08-08T15:45:00Z
0.029239118045847685,0.03995110530327003,0.75,2015-08-08T16:15:00Z
0.029284771362539826,0.04058694917184541,0.75,2015-08-08T16:45:00Z
0.030827398183654764,0.04064946958219566,0.75,2015-08-08T17:15:00Z
0.033209884108482524,0.04111275863297378,0.75,2015-08-08T17:45:00Z
0.03776240420622807,0.04222748293320634,0.75,2015-08-08T18:15:00Z
0.04677738322309637,0.04339989422148062,0.75,2015-08-08T18:45:00Z
0.06176011948440941,0.04400749319519083,0.75,2015-08-08T19:15:00Z
0.08027294801937976,0.04420517643425112,0.75,2015-08-08T19:45:00Z
0.09474786840688657,0.045006772962122354,0.75,2015-08-08T20:15:00Z
0.09928674484758282,0.04743357853011317,0.75,2015-08-08T20:45:00Z
0.09610818004885079,0.05128420217584989,0.75,2015-08-08T21:15:00Z
0.09085252348735569,0.05524955339733533,0.75,2015-08-08T21:45:00Z
0.08550019998806511,0.058426336676782306,0.75,2015-08-08T22:15:00Z
0.07905270105547572,0.06088426742113449,0.75,2015-08-08T22:45:00Z
0.0713938348505665,0.06292045031022796,0.75,2015-08-08T23:15:00Z
0.06386278680860061,0.06461143282565933,0.75,2015-08-08T23:45:00Z
1.0536252295011834,1.6253934144061257,0.75,2015-08-09T00:15:00Z
1.0341709754363728,1.4903411948516196,0.75,2015-08-09T00:45:00Z
0.8774911489205126,1.247887381566121,0.75,2015-08-09T01:15:00Z
0.6029261546978489,0.9407618458446653,0.75,2015-08-09T01:45:00Z
0.3440596905270941,0.6612059555532476,0.75,2015-08-09T02:15:00Z
0.2079559218999529,0.47372434436422906,0.75,2015-08-09T02:45:00Z
0.16892247755439704,0.38178420671304697,0.75,2015-08-09T03:15:00Z
0.1477924052448505,0.34564217484594034,0.75,2015-08-09T03:45:00Z
0.11289626708466848,0.31629888285058877,0.75,2015-08-09T04:15:00Z
0.08096161370798928,0.2804993780899559,0.75,2015-08-09T04:45:00Z
0.07352579722134069,0.2596871513591883,0.75,2015-08-09T05:15:00Z
0.10050799916207022,0.259080982022536,0.75,2015-08-09T05:45:00Z
