Datetime,Household 1,Household 2,Household 45,Household 54,Household 70,Household 71,Household 74,Household 115,Household 126,Household 136,Household 145,Household 153,Household 158,Household 162,Household 178,Household 181,Household 182,Household 191,Household 195,Household 198,Household 224,Quantile
14-09-2015 13:00,0.254207963,0.222057437,0.463449445,0.328896527,0.20973996,0.173618405,0.223746398,0.135050232,0.244027085,0.32947423,0.187397064,0.184502024,0.2109262,0.226410475,0.262903694,0.189276685,0.179579943,0.155793688,0.177791708,0.287599982,0.18562746,0.5
14-09-2015 13:15,0.322804429,0.22455004,0.322960626,0.319995443,0.172277501,0.178559918,0.221742693,0.133140949,0.222817515,0.319112835,0.171610952,0.162685964,0.222650022,0.226167287,0.220482226,0.183126949,0.162528569,0.152030436,0.181353309,0.309105123,0.173998141,0.5
14-09-2015 13:30,0.372770889,0.221123142,0.2023822,0.307609929,0.150053844,0.180976509,0.217443641,0.136109956,0.206211455,0.305984439,0.166738527,0.147023136,0.22945552,0.22585705,0.19281033,0.179257105,0.150908565,0.150948172,0.184492048,0.338239262,0.164658408,0.5
14-09-2015 13:45,0.367052867,0.208526378,0.13295564,0.292352287,0.135570523,0.180730477,0.212146666,0.149154022,0.194995395,0.290096593,0.168575572,0.135378333,0.225023298,0.236995274,0.187060818,0.176767627,0.143772055,0.151912952,0.185718274,0.361088056,0.157879874,0.5
14-09-2015 14:00,0.319808162,0.192324248,0.106572326,0.275050524,0.126527879,0.179626229,0.208754266,0.179217587,0.188972295,0.271599426,0.174364677,0.125974703,0.210036532,0.269331199,0.196380624,0.174999517,0.140364892,0.151532845,0.185297962,0.369168302,0.153582725,0.5
14-09-2015 14:15,0.27732026,0.184047637,0.109932314,0.256666635,0.121161859,0.179704957,0.210373862,0.2330345,0.18730716,0.2515066,0.183511663,0.121129247,0.193797031,0.313778225,0.21527101,0.174360635,0.139336849,0.149580031,0.185090615,0.370569876,0.150761526,0.5
14-09-2015 14:30,0.260663996,0.200089121,0.154056295,0.238279512,0.11712956,0.184342181,0.22466462,0.314428374,0.188912729,0.231673766,0.194981743,0.125235014,0.186677748,0.340813692,0.239612341,0.176146366,0.140459787,0.152789072,0.190158774,0.372376482,0.150653621,0.5
14-09-2015 14:45,0.254738502,0.262990012,0.267533954,0.220970169,0.115084299,0.196177956,0.270035771,0.421155905,0.193083105,0.213792605,0.204359115,0.140321941,0.190555744,0.329981359,0.260726443,0.181336596,0.146062117,0.169305622,0.208271397,0.374455688,0.159567209,0.5
14-09-2015 15:00,0.245837957,0.382385556,0.435193554,0.20560195,0.118232352,0.212812337,0.365312621,0.54848743,0.199590482,0.198546738,0.207893514,0.161856595,0.198599285,0.295200994,0.272191399,0.189403879,0.162409143,0.205102984,0.239816486,0.385625635,0.183827083,0.5
14-09-2015 15:15,0.240776705,0.520087454,0.554046094,0.192602407,0.126980761,0.226140937,0.494217261,0.707405309,0.20845741,0.185360958,0.208428716,0.17713122,0.204236059,0.264957485,0.282551265,0.198111076,0.197382158,0.268046026,0.269287502,0.419110487,0.218649902,0.5
14-09-2015 15:30,0.244174062,0.59605322,0.530522927,0.182060952,0.135661569,0.230083353,0.587910992,0.9017923,0.219186661,0.173239065,0.213316337,0.174618567,0.207300607,0.250134034,0.306327664,0.20454354,0.248579278,0.362508559,0.282701901,0.477184712,0.247312792,0.5
14-09-2015 15:45,0.246754068,0.560446402,0.406048614,0.17428403,0.139276454,0.233392199,0.582128397,1.057763395,0.228845247,0.163266133,0.228740309,0.15853691,0.211142226,0.244851582,0.338722542,0.20705073,0.293889066,0.46360601,0.292004644,0.551832831,0.25786574,0.5
14-09-2015 16:00,0.241539286,0.453761171,0.292066173,0.169862953,0.14074872,0.256332875,0.48892649,1.057938282,0.232959636,0.158520054,0.249984896,0.1437243,0.217833817,0.243857773,0.356148326,0.206101362,0.305674016,0.511398391,0.316387409,0.627485101,0.253944269,0.5
14-09-2015 16:15,0.228144097,0.366181621,0.230081604,0.168879461,0.144407041,0.305395643,0.375998653,0.884652906,0.230190236,0.159896659,0.257876611,0.136297375,0.228305107,0.249051216,0.348655375,0.203028266,0.277820543,0.469126812,0.344097513,0.680160444,0.245941456,0.5
14-09-2015 16:30,0.20470316,0.343004732,0.191362564,0.170617696,0.148937485,0.356677181,0.293692078,0.645184664,0.223374335,0.165077517,0.242395523,0.132518745,0.243283948,0.267587885,0.339284638,0.199045455,0.230758527,0.374080571,0.346088867,0.679370604,0.240240403,0.5
14-09-2015 16:45,0.171424312,0.357753671,0.153597566,0.174155268,0.15197524,0.373621183,0.249492998,0.447173096,0.215644377,0.171997193,0.220998486,0.131057642,0.259593688,0.300078884,0.357861683,0.195544534,0.190012887,0.290540193,0.317852951,0.608319391,0.234169787,0.5
14-09-2015 17:00,0.136802845,0.364090063,0.124114138,0.178683072,0.156052255,0.345328965,0.229569236,0.32165496,0.208401813,0.180139464,0.221165787,0.134301502,0.271721402,0.32940997,0.398445571,0.193877166,0.167559817,0.239231625,0.277692876,0.498415628,0.218951095,0.5
14-09-2015 17:15,0.111581808,0.347970024,0.12109787,0.183339741,0.16794694,0.299943305,0.220848544,0.256444026,0.202528272,0.188786787,0.261433207,0.143533063,0.280841863,0.342019099,0.422439866,0.194366985,0.1634711,0.205580108,0.243244783,0.413338119,0.197849422,0.5
14-09-2015 17:30,0.100433025,0.328158988,0.167299324,0.187220143,0.192996473,0.271559411,0.216524211,0.237544935,0.199143615,0.196372686,0.341029399,0.156841891,0.290780269,0.348085582,0.408608756,0.195978852,0.173911251,0.180897053,0.227860758,0.379789966,0.199436201,0.5
14-09-2015 17:45,0.102354921,0.321244272,0.288353397,0.189567674,0.231968653,0.266429705,0.213590198,0.252169706,0.19910069,0.201334235,0.428538854,0.168200328,0.295369369,0.359390526,0.377244398,0.196950449,0.192310781,0.165342689,0.239283025,0.369712986,0.259324573,0.5
14-09-2015 18:00,0.113469843,0.327052199,0.474094701,0.189758337,0.281417816,0.272027213,0.212482181,0.287860228,0.202768611,0.202287619,0.47611774,0.171947891,0.283237312,0.375541839,0.363649702,0.195635803,0.21173488,0.155112768,0.273011518,0.355148533,0.376885372,0.5
